dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
86,75,75,74,0,116,2017/04/28 21:31:03,3722364942.52,0,2229,3702403863.0,34,JSON_Data,1,internal_timestamp,13070,ok,-50,14811,33,velpt_ab_dcl_instrument,765,104,-39,21
87,74,76,73,0,116,2017/04/28 21:46:03,3722364942.52,0,1992,3702404763.0,17,JSON_Data,1,internal_timestamp,13089,ok,-59,14811,33,velpt_ab_dcl_instrument,766,138,3,-1
88,87,89,91,0,116,2017/04/28 22:00:06,3722364942.52,0,2294,3702405606.0,37,JSON_Data,1,internal_timestamp,13076,ok,-45,14811,17,velpt_ab_dcl_instrument,766,116,38,-70
89,77,78,77,0,116,2017/04/28 22:15:03,3722364942.52,0,2191,3702406503.0,27,JSON_Data,1,internal_timestamp,13083,ok,-55,14811,17,velpt_ab_dcl_instrument,766,174,17,6
90,78,78,77,0,116,2017/04/28 22:30:03,3722364942.52,0,2160,3702407403.0,27,JSON_Data,1,internal_timestamp,13079,ok,-59,14811,17,velpt_ab_dcl_instrument,766,137,61,47
91,77,77,75,0,116,2017/04/28 22:46:01,3722364942.52,0,2213,3702408361.0,26,JSON_Data,1,internal_timestamp,13087,ok,-58,14811,33,velpt_ab_dcl_instrument,766,198,82,18
92,88,90,93,0,116,2017/04/28 23:00:06,3722364942.52,0,2158,3702409206.0,29,JSON_Data,1,internal_timestamp,13079,ok,-53,14811,17,velpt_ab_dcl_instrument,766,137,94,-31
93,78,78,77,0,116,2017/04/28 23:15:02,3722364942.52,0,2232,3702410102.0,29,JSON_Data,1,internal_timestamp,13102,ok,-49,14811,17,velpt_ab_dcl_instrument,766,177,97,-9
94,80,80,79,0,116,2017/04/28 23:30:02,3722364942.52,0,2220,3702411002.0,29,JSON_Data,1,internal_timestamp,13078,ok,-54,14811,17,velpt_ab_dcl_instrument,766,173,124,-22
95,80,82,80,0,116,2017/04/28 23:46:00,3722364942.52,0,2122,3702411960.0,24,JSON_Data,1,internal_timestamp,13097,ok,-61,14811,33,velpt_ab_dcl_instrument,766,151,146,43
